Ticker,Arch,Lag,Avg_Attn
AAPL,TemporalAttentionPos,2,0.031162165105342865
AAPL,TemporalAttentionPos,3,0.031242679804563522
AAPL,TemporalAttentionPos,4,0.031293753534555435
AAPL,TemporalAttentionPos,5,0.031184205785393715
AAPL,TemporalAttentionPos,6,0.03129015117883682
AAPL,TemporalAttentionPos,7,0.031294818967580795
AAPL,TemporalAttentionPos,8,0.03125429525971413
AAPL,TemporalAttentionPos,9,0.031154295429587364
AAPL,TemporalAttentionPos,10,0.03128116577863693
AAPL,TemporalAttentionPos,11,0.031312644481658936
AAPL,TemporalAttentionPos,12,0.031279802322387695
AAPL,TemporalAttentionPos,13,0.03125452250242233
AAPL,TemporalAttentionPos,14,0.031260788440704346
AAPL,TemporalAttentionPos,15,0.031222283840179443
AAPL,TemporalAttentionPos,16,0.03123975545167923
AAPL,TemporalAttentionPos,17,0.031190937384963036
AAPL,TemporalAttentionPos,18,0.031184189021587372
AAPL,TemporalAttentionPos,19,0.031164217740297318
AAPL,TemporalAttentionPos,20,0.03132312372326851
AAPL,TemporalAttentionPos,21,0.031244419515132904
AAPL,TemporalAttentionPos,22,0.03127163276076317
AAPL,TemporalAttentionPos,23,0.031228741630911827
AAPL,TemporalAttentionPos,24,0.031305622309446335
AAPL,TemporalAttentionPos,25,0.031228281557559967
AAPL,TemporalAttentionPos,26,0.03131011128425598
AAPL,TemporalAttentionPos,27,0.031188160181045532
AAPL,TemporalAttentionPos,28,0.031185101717710495
AAPL,TemporalAttentionPos,29,0.03124290704727173
AAPL,TemporalAttentionPos,30,0.03127191215753555
AAPL,TemporalAttentionPos,31,0.031420089304447174
AAPL,TemporalAttentionPos,32,0.03131720423698425
AAPL,Transformer,1,0.03173922747373581
AAPL,Transformer,2,0.031545210629701614
AAPL,Transformer,3,0.03163856640458107
AAPL,Transformer,4,0.03147341310977936
AAPL,Transformer,5,0.03130214661359787
AAPL,Transformer,6,0.03175809606909752
AAPL,Transformer,7,0.03167568892240524
AAPL,Transformer,8,0.031171338632702827
AAPL,Transformer,9,0.03102307766675949
AAPL,Transformer,10,0.03130620718002319
AAPL,Transformer,11,0.031260062009096146
AAPL,Transformer,12,0.03165042772889137
AAPL,Transformer,13,0.03152622655034065
AAPL,Transformer,14,0.03158994019031525
AAPL,Transformer,15,0.031352847814559937
AAPL,Transformer,16,0.031164061278104782
AAPL,Transformer,17,0.031137632206082344
AAPL,Transformer,18,0.03142056241631508
AAPL,Transformer,19,0.03108016401529312
AAPL,Transformer,20,0.03115020878612995
AAPL,Transformer,21,0.030905747786164284
AAPL,Transformer,22,0.031201926991343498
AAPL,Transformer,23,0.031197089701890945
AAPL,Transformer,24,0.031154969707131386
AAPL,Transformer,25,0.031225796788930893
AAPL,Transformer,26,0.031062675639986992
AAPL,Transformer,27,0.031059177592396736
AAPL,Transformer,28,0.030943509191274643
AAPL,Transformer,29,0.030855780467391014
AAPL,Transformer,30,0.030886854976415634
AAPL,Transformer,31,0.030929435044527054
AAPL,Transformer,32,0.030611926689743996
