Date,SPY,QQQ,AAPL
2015-03-12,0.012633441830734,0.0065432890497774,0.0179176721572188
2015-03-13,-0.0061512047637642,-0.0043570382787634,-0.0069342934876567
2015-03-16,0.0132724420093207,0.0128277494774636,0.010943970073558
2015-03-17,-0.0029771468719928,0.001591979638242,0.0165882898999654
2015-03-18,0.0119498046351845,0.0097771136804722,0.0111933619556031
2015-03-19,-0.0045714217908196,0.0014816580346938,-0.0075788868189925
2015-03-20,0.008787762642643,0.0064519894667786,-0.0126283431586965
2015-03-23,-0.0019503660434324,-0.0019368461276076,0.010351179110782
2015-03-24,-0.0056349754746226,-0.0036070158353907,-0.0040961232075073
2015-03-25,-0.0147623876543703,-0.0231510765148916,-0.0264740423948147
2015-03-26,-0.0023838534835789,-0.0034195642047273,0.006946055046465
2015-03-27,0.0022869428941311,0.0039883564373777,-0.0080003745972143
2015-03-30,0.0121258302633547,0.0114016514757322,0.0249994677991092
2015-03-31,-0.008777833386612,-0.0106440260204149,-0.0154707420583476
2015-04-01,-0.0035425596416811,-0.0052216242926324,-0.0014475696736529
2015-04-02,0.0035910762939209,0.0006661352481922,0.0085746147372321
2015-04-06,0.006710776041619,0.0081480712406404,0.0160686405083844
2015-04-07,-0.0026501293556642,-0.0017002436426326,-0.0105779129138793
2015-04-08,0.0033714982726367,0.0079079392897668,-0.0032593041235583
2015-04-09,0.0044136517183036,0.0062633515840319,0.0076146794885484
2015-04-10,0.0054424554001372,0.0040918367841389,0.0042575245031728
2015-04-13,-0.0045333346664539,-0.0025088321805966,-0.0019687465577292
2015-04-14,0.0019115636630949,-0.0028884261002818,-0.0043451246971183
2015-04-15,0.0044767536411483,0.00623247150671,0.0037931451615234
2015-04-16,-0.0002850038020524,-0.001391923047596,-0.0048229404493828
2015-04-17,-0.0115704768934693,-0.0157233283470128,-0.0113187343516948
2015-04-20,0.0090954037939345,0.0148873359037637,0.0225885059947755
2015-04-21,-0.0011920524088318,0.0042656030904279,-0.0054220557034447
2015-04-22,0.0049022815086195,0.0054453389550326,0.013384002433878
2015-04-23,0.0025130898360589,0.0037663857053367,0.0081305584882267
2015-04-24,0.002317609744165,0.0134792539548346,0.0046931338002934
2015-04-27,-0.0041664344006499,-0.0025360379138218,0.0180279670999026
2015-04-28,0.0031734960946808,-0.0019978160376688,-0.0158808147727031
