step,date,w_rv_lag_1,w_rv_lag_5,w_rv_lag_21,w_abs_ret_lag1
835,2018-05-30,0.0025121646506818755,0.0012602615211585988,0.0022100116110794726,0.0027624699776491557
840,2018-06-06,0.002114860114991653,0.000897058603194032,0.0019012120606672395,0.0022697018341573784
845,2018-06-13,0.0017904646800988645,0.0007122753210156621,0.0014226481246843621,0.001894762581937208
850,2018-06-20,0.0014895495681631985,0.0004391544956192654,0.000873586938094485,0.0016303963890216763
855,2018-06-27,0.001185892521832002,0.000247980297028649,0.00044564021371262905,0.0012878145200320664
860,2018-07-05,0.0008719363927255974,2.9718851519302748e-05,2.7572055847831005e-05,0.0009275211880702435
865,2018-07-12,0.000627280731137518,-0.00013158391063014112,-0.00045867131159038746,0.0007373483633333596
870,2018-07-19,0.0005000768669122862,-0.00015080576755010892,-0.00045055600288204764,0.0005761477463783065
875,2018-07-26,0.0003680771005147413,-0.00022807175202186123,-0.00047531407274806556,0.0003972137581814393
880,2018-08-02,-0.001451136947732634,-0.001943477913519113,-0.0029161482519873723,-0.0014274971109787984
885,2018-08-09,-0.001080523788825651,-0.001182366565131949,-0.0025061684393116613,-0.0010966556445347944
890,2018-08-16,-0.0010146989289190936,-0.001169296303316675,-0.002131051819800627,-0.0010646217737224565
895,2018-08-23,-0.000972589468457635,-0.001226846043249154,-0.001759821832841293,-0.0010769264278986785
900,2018-08-30,-0.0009432754392083193,-0.001279781956132838,-0.001400366357741644,-0.0010437644091728145
905,2018-09-07,-0.0009129490506514787,-0.0012620609196299616,-0.0014963597979513914,-0.0010121620138366994
910,2018-09-14,-0.0005435050632867988,-0.0012721047170381847,-0.002407600427900115,-0.00018071973809109392
915,2018-09-21,-0.000159300138944382,-0.0008261654355431946,-0.0024019003941665395,0.0003861004206663257
920,2018-09-28,-0.0003034327539104197,-0.0009244443872250599,-0.0022391324809101576,0.00021074409570234125
925,2018-10-05,-0.00041626316137260863,-0.001023639662459103,-0.0020747155224530287,0.00016324474586209157
930,2018-10-12,0.0022599971278057618,0.00048547891515937115,-0.0012651853158611266,0.0016988318541863612
935,2018-10-19,0.0023971300867801954,0.0026656384494015764,7.284606578450182e-05,0.0022006715624294675
940,2018-10-26,0.0019937672193012872,0.0025618952488575615,0.002127534447150438,0.001908459545331292
945,2018-11-02,0.004440364692758423,0.003982443803628228,0.009213542545017848,0.005949170844655887
950,2018-11-09,0.0035627656827331533,0.004665236849994146,0.00982766942581131,0.005549435130702915
955,2018-11-16,0.00334668917601011,0.008063684355535686,0.012326005982546831,0.004604533166682421
960,2018-11-26,0.0031527946054748777,0.01003368598888341,0.014795488895574959,0.004805268714356446
965,2018-12-03,0.0024981380887955165,0.01003999389228664,0.015199836206225559,0.004041317067103589
970,2018-12-11,0.0031199555206625628,0.009722532848584584,0.015769824063116975,0.004304329148383093
975,2018-12-18,0.0028265883672237086,0.008746456418968209,0.014829201239443016,0.0037449753626972704
980,2018-12-26,0.007398662509956188,0.010602192523347936,0.016303604145291223,0.009227380615929096
985,2019-01-03,0.003955929658423181,0.018036336291531663,0.02091282816706325,0.006306603423656666
990,2019-01-10,0.0022953118855753114,0.016105155626189607,0.018919745148617398,0.0043122553618360655
995,2019-01-17,0.0023237086121892445,0.014291918784536574,0.017186046557618084,0.004009506498118357
1000,2019-01-25,0.0021689309451537885,0.012675187005417868,0.01643959350696895,0.0034225053541500038
1005,2019-02-01,0.0015395328922816023,0.011403421317726151,0.01674613268502748,0.002623764840874181
1010,2019-02-08,0.0014180048959271268,0.010809576694001895,0.015420986533583921,0.002318780722682289
1015,2019-02-15,0.0013943756217618696,0.009637590766828517,0.013675758694922482,0.0021652630480517437
1020,2019-02-25,0.0013236789705203741,0.008503441649384795,0.012120986841726447,0.0019604145173034424
1025,2019-03-04,0.001231819565942781,0.007476101574726767,0.010694298183328033,0.0017303404076912821
1030,2019-03-11,0.0010697171716738901,0.006328059699857811,0.009013230405871967,0.0015765669148465552
1035,2019-03-18,0.0009478416168412923,0.005568490008231305,0.007757993995338655,0.0013544571823976288
1040,2019-03-25,0.0007814181202361582,0.004601014286710463,0.006375948717007532,0.0011938835908132512
1045,2019-04-01,0.0007047891798347876,0.004061583989942822,0.005537700735670204,0.001088421385039365
1050,2019-04-08,0.000558311604288307,0.003408683387317798,0.004785331219191407,0.0007855100606574882
1055,2019-04-15,0.0004853413034319051,0.002933439850300859,0.004137888680165708,0.0006689291019233607
1060,2019-04-23,0.00032927190649149765,0.0023580971455144113,0.003462645023303564,0.00031082112248687153
1065,2019-04-30,0.00020957692890100332,0.0018994534969032314,0.0027784746713503485,0.00013515101620166622
1070,2019-05-07,-7.506642653023969e-05,0.0017017204665424042,0.0013188032242055679,-0.0007260419659067347
1075,2019-05-14,-0.0004974475855283391,0.0016345812802094366,0.0009515674528590252,-0.0005815501156274882
1080,2019-05-21,-0.0003857211877727011,0.0029402059924236697,0.001533191973357016,-0.0006719517066598508
1085,2019-05-29,-0.00010297173581444854,0.002584206760946414,0.0017553476704945687,-9.290269403734414e-05
1090,2019-06-05,-0.00010850200387492698,0.0016430125679474617,0.0024562100962241943,0.0002976388396583133
1095,2019-06-12,9.790485370615446e-05,0.0017565906566187133,0.0027255332482567724,0.0007667324797077945
1100,2019-06-19,-2.052927743707753e-05,0.0013157501073371017,0.002393877227308364,0.0005295541587801288
1105,2019-06-26,-0.0001644212617777258,0.000938448728654839,0.0019526650350523511,0.00013011971784986353
1110,2019-07-03,-0.00020128653778585538,0.0007042827191985129,0.0016385885809845383,-3.1192998409791334e-06
1115,2019-07-11,-0.00025772449363878737,0.00040913315140902036,0.001197321443263319,-4.0070201041428196e-05
1120,2019-07-18,-0.00029938531010659085,0.0002223946200660978,0.0008716604112731248,-0.00012647128762100537
1125,2019-07-25,-0.0004026823890275812,-0.0001992286768722944,0.0003004203158641161,-0.00014859828921017122
1130,2019-08-01,-0.0006218969461314818,-0.0007459785804318367,-0.0003075289848191777,-0.00042999989303560567
1135,2019-08-08,0.0008516329619078383,-0.00016579021335389106,-0.001942379162986363,0.0027556257981688746
1140,2019-08-15,0.0001271698389343933,0.0018760025457406336,-0.0008952617134003429,0.0016225355677764951
1145,2019-08-22,0.000338589955163418,0.002307030443732946,-4.8733171714583e-06,0.001780246135015876
1150,2019-08-29,2.6366873367571685e-05,0.001963666944521888,0.0024787802352119297,0.0014964342622830308
1155,2019-09-06,-3.532176706717219e-05,0.0016785174454722468,0.0029550038197949666,0.0012982650020720245
1160,2019-09-13,2.2282776203127622e-05,0.001314348561159832,0.003288673847538503,0.0011225957835861783
1165,2019-09-20,-4.8007146462501886e-05,0.001092469912499767,0.0029273696889261635,0.0009106061321183619
1170,2019-09-27,-0.00010397524234432201,0.0008117577103799436,0.0025652836372138475,0.000714787567145288
1175,2019-10-04,0.00041279347463060034,0.00031640742770579607,0.001586066994002952,0.0015858690785342327
1180,2019-10-11,0.0002579985266823559,0.00036154120783070653,0.0011401412141617642,0.001458742597768752
1185,2019-10-18,0.0002077055840116318,0.0003107828962545749,0.0009649292247890006,0.001230530576870785
1190,2019-10-25,8.438549420696314e-05,-2.1511029589518906e-05,0.0006237009147353282,0.0010423744315232817
1195,2019-11-01,-0.00010985251266158216,-0.0006273145980749683,-0.0001397785260904277,0.0007327220720224401
1200,2019-11-08,-0.00013650404446970848,-0.0005231329100443601,-0.00019828782839471836,0.0005691195315258706
1205,2019-11-15,-0.00021077842208889702,-0.0006672638885702009,-0.00038104009300591273,0.00044014735572810274
1210,2019-11-22,-0.0002473653559369635,-0.0006932820421886665,-0.0004339388413117228,0.0003121918466348301
1215,2019-12-02,-0.0003457782693017507,-0.000979672363774622,-0.0008156751393196588,0.00022183666495737526
1220,2019-12-09,-0.0005481508402176443,-0.001287500684216232,-0.001686536040833249,0.00013178806924003494
1225,2019-12-16,-0.0006937783391562865,-0.0012879731493293282,-0.0018588168384131892,-8.694324402136668e-05
1230,2019-12-23,-0.000736171316466003,-0.0012598871102384478,-0.0017637854037973885,-0.0002803676339210657
1235,2019-12-31,-0.000618050421953558,-0.0013993211770440795,-0.0017878380489426248,-7.531557819547241e-05
1240,2020-01-08,-0.000880720178595266,-0.0015684456709131056,-0.002096346695523911,-0.00027015216639828644
1245,2020-01-15,-0.0008464047123196194,-0.0017159391764906124,-0.0024831065044762122,-0.00017812103982207746
1250,2020-01-23,-0.0008392497205524339,-0.001505565714463248,-0.002320807437389813,-0.00018728692305644326
1255,2020-01-30,-0.0008906334005841879,-0.0027801576551344655,-0.003037264583828528,-0.0003915456283598127
1260,2020-02-06,0.002652776205706562,0.0016222381519941421,-0.002770984362786635,0.0029257173593702367
1265,2020-02-13,0.0020645845825367675,0.0017428260998048769,-0.001939767270483928,0.0023192703666280357
1270,2020-02-21,0.0016118674620450467,0.001319203627288942,-0.0010103981884488145,0.001997901767454569
1275,2020-02-28,0.005488341545430009,0.007274205643474722,0.00778412663894364,0.007227003248425894
1280,2020-03-06,0.02227201152354969,0.02284864857746113,0.019186411493110088,0.018713396925742077
1285,2020-03-13,0.02571339274425198,0.04909862431299788,0.06112221807886441,0.03079708912615762
1290,2020-03-20,0.04415860490995455,0.05795225123557912,0.0704695749960651,0.04277748639178515
1295,2020-03-27,0.04344641623254277,0.05655527632671102,0.07375713393561188,0.04477131187001122
1300,2020-04-03,0.04049892571936326,0.05331482699097001,0.06830522799020383,0.041283457792699145
1305,2020-04-13,0.03687813022373208,0.04943766842529358,0.0670633169863448,0.0377882138963925
1310,2020-04-20,0.03400046783300671,0.04607541308397409,0.06255084390405287,0.03437263700164036
1315,2020-04-27,0.031395294755847715,0.04243184707030193,0.057520109867852325,0.03186584167271808
1320,2020-05-04,0.028810910735386403,0.03888071369483252,0.052452329332059816,0.02907535063494221
1325,2020-05-11,0.026282109866743657,0.035360764533785734,0.04743063217814365,0.026485884983234117
1330,2020-05-18,0.02383600612130259,0.03197969377726998,0.04264961120661483,0.023950179584611285
1335,2020-05-26,0.021526034020117872,0.028755986572710154,0.038162444060490956,0.02165281885191548
1340,2020-06-02,0.019311214309468996,0.025725593534824415,0.033998208107342436,0.019297090064856953
1345,2020-06-09,0.017310809201796083,0.02277576729859303,0.03001868817802418,0.017528602572947707
1350,2020-06-16,0.01566341998723169,0.02035382135951876,0.026277917262037747,0.016672539432249844
1355,2020-06-23,0.01377769880463012,0.01794384453604915,0.02318943577355088,0.014353623966362722
1360,2020-06-30,0.012166568904508299,0.01578736555900168,0.020406483459044358,0.013045155196259926
1365,2020-07-08,0.01069852847044755,0.013868151409114682,0.01798155628322361,0.011460702704399289
1370,2020-07-15,0.00933885927909488,0.012137205782721995,0.01573909571217758,0.009888845502864955
1375,2020-07-22,0.008111544120575447,0.010503781565526312,0.013688470166355089,0.008603429449188267
1380,2020-07-29,0.007322818738537545,0.009121596455855651,0.011797800386983567,0.00832283252102533
1385,2020-08-05,0.005477214519461255,0.009814348484598027,0.009653014807923431,0.009220770615230887
1390,2020-08-12,0.004694942951178,0.010507132952450761,0.009782612862530961,0.008188184513111119
1395,2020-08-19,0.004214026037859134,0.009201955361616337,0.00858850084313684,0.007269574917453829
1400,2020-08-26,0.0034085876833242954,0.007614239385067738,0.009110448184781097,0.005416386872710441
