date,ticker,rmse,qlike,baseline_rmse,alert_upper_rmse,psi_rv,psi_feat_max,perf_alert,drift_alert,health_alert,health_all_same,health_has_negative,health_extreme_outlier,alert_level
2021-04-07,SPY,0.04327603,1182637.610368,0.03231271,0.0452378,0.3116,5.3402,0,1,1,0,1,0,RED
2021-05-06,SPY,0.03399617,791615.144015,0.03231271,0.0452378,0.3116,9.3951,0,1,1,0,1,0,RED
2021-06-07,SPY,0.02397833,425626.726939,0.03231271,0.0452378,0.3116,9.3951,0,1,1,0,1,0,RED
2021-07-07,SPY,0.02141095,23748.49423,0.03231271,0.0452378,0.1447,9.3951,0,1,1,0,1,0,RED
2021-08-05,SPY,0.02281575,2757.831671,0.03231271,0.0452378,0.1447,5.6273,0,1,1,0,1,0,RED
2021-09-03,SPY,0.01496856,-1.492889,0.03231271,0.0452378,0.1447,5.6273,0,1,0,0,0,0,YELLOW
2021-10-05,SPY,0.02272584,105071.319208,0.03231271,0.0452378,0.2166,5.6273,0,1,1,0,1,0,RED
2021-11-03,SPY,0.02225332,108566.074777,0.03231271,0.0452378,0.2166,6.7254,0,1,1,0,1,0,RED
2021-12-03,SPY,0.0315633,263008.809446,0.03231271,0.0452378,0.2166,6.7254,0,1,1,0,1,0,RED
2022-01-04,SPY,0.03455594,291317.282085,0.03231271,0.0452378,0.2263,6.7254,0,1,1,0,1,0,RED
2022-02-03,SPY,0.04732013,794758.629781,0.03231271,0.0452378,0.2263,4.4693,1,1,1,0,1,0,RED
2022-03-07,SPY,0.06018359,1063263.884268,0.03231271,0.0452378,0.2263,4.4693,1,1,1,0,1,0,RED
2022-04-05,SPY,0.06377939,929884.664758,0.03231271,0.0452378,2.426,4.4693,1,1,1,0,1,0,RED
2022-05-05,SPY,0.09508628,920013.436794,0.03231271,0.0452378,2.426,14.4128,1,1,1,0,1,0,RED
2022-06-06,SPY,0.10797961,497066.808977,0.03231271,0.0452378,2.426,14.4128,1,1,1,0,1,0,RED
2022-07-07,SPY,0.12754608,497066.480648,0.03231271,0.0452378,2.3261,14.4128,1,1,1,0,1,0,RED
2022-08-05,SPY,0.1065797,353045.9872,0.03231271,0.0452378,2.3261,14.9211,1,1,1,0,1,0,RED
2022-09-06,SPY,0.09454326,1495049.836126,0.03231271,0.0452378,2.3261,14.9211,1,1,1,0,1,0,RED
2022-10-05,SPY,0.09550628,1512046.396785,0.03231271,0.0452378,0.8854,14.9211,1,1,1,0,1,0,RED
2022-11-03,SPY,0.10310952,1159003.500996,0.03231271,0.0452378,0.8854,14.5523,1,1,1,0,1,0,RED
2022-12-05,SPY,0.13413434,17002.84288,0.03231271,0.0452378,0.8854,14.5523,1,1,1,0,1,0,RED
2023-01-05,SPY,0.11465123,600225.782212,0.03231271,0.0452378,2.4361,14.5523,1,1,1,0,1,0,RED
2023-02-06,SPY,0.1041983,1353538.080302,0.03231271,0.0452378,2.4361,14.1764,1,1,1,0,1,0,RED
2023-03-08,SPY,0.04357922,1926060.82287,0.03231271,0.0452378,2.4361,14.1764,0,1,1,0,1,0,RED
2023-04-06,SPY,0.0371271,1584943.317039,0.03231271,0.0452378,0.4232,14.1764,0,1,1,0,1,0,RED
2023-05-08,SPY,0.03642204,838403.596659,0.03231271,0.0452378,0.4232,11.1082,0,1,1,0,1,0,RED
2023-06-07,SPY,0.03057052,265877.403142,0.03231271,0.0452378,0.4232,11.1082,0,1,1,0,1,0,RED
2023-07-10,SPY,0.02358017,6773.384137,0.03231271,0.0452378,0.141,11.1082,0,1,1,0,1,0,RED
2023-08-08,SPY,0.01540733,-1.565461,0.03231271,0.0452378,0.141,7.3307,0,1,0,0,0,0,YELLOW
2023-09-07,SPY,0.01519691,856.035495,0.03231271,0.0452378,0.141,7.3307,0,1,1,0,1,0,RED
2023-10-06,SPY,0.01903995,21266.607873,0.03231271,0.0452378,0.2717,7.3307,0,1,1,0,1,0,RED
2023-11-06,SPY,0.02445418,23390.349263,0.03231271,0.0452378,0.2717,9.0042,0,1,1,0,1,0,RED
2023-12-06,SPY,0.02616332,170815.018432,0.03231271,0.0452378,0.2717,9.0042,0,1,1,0,1,0,RED
2024-01-08,SPY,0.02459937,150404.59731,0.03231271,0.0452378,0.117,9.0042,0,1,1,0,1,0,RED
2024-02-07,SPY,0.02123925,148285.247431,0.03231271,0.0452378,0.117,6.832,0,1,1,0,1,0,RED
2024-03-08,SPY,0.02205803,5387.889507,0.03231271,0.0452378,0.117,6.832,0,1,1,0,1,0,RED
2024-04-09,SPY,0.02085252,5387.727057,0.03231271,0.0452378,0.1421,6.832,0,1,1,0,1,0,RED
2024-05-08,SPY,0.02213417,5388.923893,0.03231271,0.0452378,0.1421,10.4685,0,1,1,0,1,0,RED
2024-06-07,SPY,0.01735951,2.844885,0.03231271,0.0452378,0.1421,10.4685,0,1,0,0,0,0,YELLOW
2024-07-10,SPY,0.01615572,2.411128,0.03231271,0.0452378,0.2081,10.4685,0,1,0,0,0,0,YELLOW
2024-08-08,SPY,0.04122931,407580.827625,0.03231271,0.0452378,0.2081,1.9963,0,1,1,0,1,0,RED
2024-09-09,SPY,0.04624428,821024.175611,0.03231271,0.0452378,0.2081,1.9963,1,1,1,0,1,0,RED
2024-10-08,SPY,0.04735408,821028.419062,0.03231271,0.0452378,0.3005,1.9963,1,1,1,0,1,0,RED
2024-11-06,SPY,0.03392701,415305.958792,0.03231271,0.0452378,0.3005,6.7857,0,1,1,0,1,0,RED
2024-12-06,SPY,0.02637233,9335.493704,0.03231271,0.0452378,0.3005,6.7857,0,1,1,0,1,0,RED
2016-08-03,QQQ,0.06466944,942591.194458,0.06048643,0.084681,,,0,0,1,0,1,1,YELLOW
2016-09-01,QQQ,0.06265311,663949.71326,0.06048643,0.084681,,,0,0,1,0,1,1,YELLOW
2016-10-03,QQQ,0.02680221,297030.61039,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2016-11-01,QQQ,0.02645203,48917.49227,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2016-12-01,QQQ,0.03520349,98638.414646,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-01-03,QQQ,0.02642666,73733.986492,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-02-02,QQQ,0.02537727,73732.993815,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-03-06,QQQ,0.01044422,24012.028415,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-04-04,QQQ,0.00957033,2552.896834,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-05-04,QQQ,0.01043927,2553.845472,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-06-05,QQQ,0.02371582,46184.915241,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-07-05,QQQ,0.03596925,355212.543576,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-08-03,QQQ,0.03606371,477031.130663,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
