response,shock,period,irf
QQQ,SPY,12,0.009745935950216932
QQQ,SPY,13,0.007403204154120816
QQQ,SPY,14,0.006922270773243437
QQQ,SPY,15,0.008059214236443712
QQQ,SPY,16,0.00859719217113678
QQQ,SPY,17,0.0065440894771283805
QQQ,SPY,18,0.005584358781405002
QQQ,SPY,19,0.0055802494204166084
QQQ,SPY,20,0.004423772823225668
QQQ,QQQ,0,0.04574738085067958
QQQ,QQQ,1,-0.01645308525983099
QQQ,QQQ,2,-0.02230733796370724
QQQ,QQQ,3,-0.01936404853542701
QQQ,QQQ,4,-0.012600122825113936
QQQ,QQQ,5,-0.007808276855514868
QQQ,QQQ,6,-0.0011195307205756379
QQQ,QQQ,7,-0.005133280565402534
QQQ,QQQ,8,-0.0018762762049825902
QQQ,QQQ,9,-0.00759192265262486
QQQ,QQQ,10,0.006023014462650432
QQQ,QQQ,11,-0.004825077602543557
QQQ,QQQ,12,-0.003370005694903753
QQQ,QQQ,13,-0.003143436900002902
QQQ,QQQ,14,-0.0006224792426314125
QQQ,QQQ,15,-0.0002072066624478831
QQQ,QQQ,16,0.0019415001514832603
QQQ,QQQ,17,-0.0004002709202045662
QQQ,QQQ,18,0.00017257634662034166
QQQ,QQQ,19,-9.112323121613202e-05
QQQ,QQQ,20,0.0006327683587538773
QQQ,AAPL,0,0.0
QQQ,AAPL,1,0.010422402395404165
QQQ,AAPL,2,0.002017344110918975
QQQ,AAPL,3,-0.0012618272483403148
QQQ,AAPL,4,0.00030460394765358155
QQQ,AAPL,5,3.814789445727646e-05
QQQ,AAPL,6,-0.0036318133235366487
QQQ,AAPL,7,0.0008507737701911941
QQQ,AAPL,8,0.007721083377550777
QQQ,AAPL,9,0.010523770191008374
QQQ,AAPL,10,0.01536254718927167
QQQ,AAPL,11,0.00876862835029676
QQQ,AAPL,12,0.007339060653430721
QQQ,AAPL,13,0.005614837071654963
QQQ,AAPL,14,0.005444558703970406
QQQ,AAPL,15,0.005632027648115365
QQQ,AAPL,16,0.005634371902870854
QQQ,AAPL,17,0.004372467992579076
QQQ,AAPL,18,0.0058898688492360265
QQQ,AAPL,19,0.0053262583290855404
QQQ,AAPL,20,0.004414542426482668
AAPL,SPY,0,0.13064495787580968
AAPL,SPY,1,0.030913363974104026
AAPL,SPY,2,0.04229435405117793
AAPL,SPY,3,0.006846291639470735
AAPL,SPY,4,0.022400533764493254
AAPL,SPY,5,0.03157488784966413
AAPL,SPY,6,0.03144970637631305
AAPL,SPY,7,0.011773531223186588
AAPL,SPY,8,0.027462566514180765
AAPL,SPY,9,0.02157981838654387
AAPL,SPY,10,0.015431070820353913
AAPL,SPY,11,0.017482208081859678
AAPL,SPY,12,0.00947639943479743
AAPL,SPY,13,0.00855345524987322
AAPL,SPY,14,0.0099155572604082
AAPL,SPY,15,0.01153768289812338
AAPL,SPY,16,0.009684824843858336
AAPL,SPY,17,0.00906559309383896
AAPL,SPY,18,0.00625672333689229
AAPL,SPY,19,0.00664381013764364
AAPL,SPY,20,0.00493220122279072
AAPL,QQQ,0,0.05197724447889881
AAPL,QQQ,1,-0.02918802777298137
AAPL,QQQ,2,-0.026328834332650267
AAPL,QQQ,3,-0.017422934564991135
AAPL,QQQ,4,-0.019983402901094623
AAPL,QQQ,5,-0.0005151734599542399
AAPL,QQQ,6,0.004183349791614892
AAPL,QQQ,7,-0.009371942235498271
AAPL,QQQ,8,-0.004225556353374901
AAPL,QQQ,9,-0.0078647008032326
AAPL,QQQ,10,0.0032588267807796903
AAPL,QQQ,11,-0.007094410861674853
AAPL,QQQ,12,-0.0023179057152284905
AAPL,QQQ,13,-0.003665027931609618
AAPL,QQQ,14,0.001369259905269694
AAPL,QQQ,15,0.000979821242789377
AAPL,QQQ,16,0.0023354011909838763
AAPL,QQQ,17,-0.0005766346007803963
AAPL,QQQ,18,1.4152090371664077e-05
AAPL,QQQ,19,0.00054965776788147
AAPL,QQQ,20,0.00044745292189784554
AAPL,AAPL,0,0.13142003355232362
AAPL,AAPL,1,0.015743161985056823
AAPL,AAPL,2,0.002626125569247622
AAPL,AAPL,3,-0.000305330424083162
AAPL,AAPL,4,0.00405779434286827
AAPL,AAPL,5,0.0026591275358336408
AAPL,AAPL,6,0.0029248192410425483
AAPL,AAPL,7,0.0016152419663098957
AAPL,AAPL,8,0.013879352270929157
AAPL,AAPL,9,0.019146374885466454
AAPL,AAPL,10,0.019118609126618582
AAPL,AAPL,11,0.008501715100513094
AAPL,AAPL,12,0.0073010529059921074
AAPL,AAPL,13,0.006468068067080709
AAPL,AAPL,14,0.008867647003940741
AAPL,AAPL,15,0.008154522714876003
AAPL,AAPL,16,0.008078190113390756
AAPL,AAPL,17,0.006622427798008918
AAPL,AAPL,18,0.007988186146697118
AAPL,AAPL,19,0.006512480260997977
AAPL,AAPL,20,0.004787724987403592
