Date,Close,High,Low,Open,Volume
2017-11-29,230.052490234375,230.85813671522286,229.60590654971486,230.32395197028413,77512100
2017-11-30,232.06654357910156,232.97724165581693,230.89312254939045,230.97193141811024,127894400
2017-12-01,231.58489990234375,232.32924152209492,228.3448639162651,231.84762285727766,164390900
2017-12-04,231.30470275878906,233.6340139703488,231.25213678791715,233.20493454568205,94040600
2017-12-05,230.4728240966797,232.18916879696056,230.34147595807508,230.4728240966797,77994500
2017-12-06,230.51658630371094,230.9456925001427,230.05247175470237,230.5691255565094,75898600
2017-12-07,231.243408203125,231.55864369859842,230.25387446911444,231.243408203125,77218600
2017-12-08,232.50437927246094,232.51311799713196,231.2083489043539,232.19788253468707,76563900
2017-12-11,233.20497131347656,233.26627601921737,232.47816046690596,233.20497131347656,83077500
2017-12-12,233.6165008544922,234.08938078279797,233.23996069117888,233.99304101780547,85195800
2017-12-13,233.59027099609375,234.29957764733308,233.50269666499167,233.86173271575652,102905400
2017-12-14,232.63572692871094,234.0018007111688,232.58318768507246,233.88795677530922,100666700
2017-12-15,234.57301330566406,235.0395001397508,233.5872318344265,233.6400396374906,144610300
2017-12-18,236.06048583984375,236.41254679897668,235.8668482832412,235.97246388492815,83653600
2017-12-19,235.15391540527344,236.35092803483727,235.08348709734065,236.3069304877763,82382900
2017-12-20,235.03065490722656,236.17485961736992,234.73140178088948,236.12205182216493,76751500
2017-12-21,235.5147705078125,236.22772957066448,235.2683251398561,235.65560026957766,67032300
2017-12-22,235.45321655273438,235.56764243105042,234.9163013222979,235.53242826990666,78720900
2017-12-26,235.1715545654297,235.39159606437855,234.90751551090486,235.04831843296174,45244400
2017-12-27,235.28594970703125,235.64682094143072,235.0131004328199,235.3387575110379,57751000
2017-12-28,235.77000427246094,235.81402867797968,235.4003496850609,235.78762477887966,45116100
2017-12-29,234.88107299804688,236.36855560539198,234.68746227476788,236.3509619561484,96007400
2018-01-02,236.5621795654297,236.59739372242203,235.35635657862522,235.74363172394615,86655700
2018-01-03,238.0585174560547,238.2081575062318,236.72945809817224,236.72945809817224,90070400
2018-01-04,239.06179809570312,239.5459053575724,238.1200411901714,238.70095378809887,80636400
